consumer_id,split
6520A3E825FB31B1F95FA79962ED4F80,train
C10693D810166C62348A4FE3D4F5595B,train
0A5462FC878699B4D2AFB15B523D9C8E,train
D5C4E6F02E5D395C665A33795725CDB7,train
C3F8CC93592D87687D9E2B56CD65CE77,train
61141DC0D5D842FC82BA472BCD1FEF70,train
AFF7DF80D6DB3AC12B9655D45B7EFE79,train
923E557564D20B655DEB9C7B64CF4F53,train
8EBBDC72FC525FFF3A51BF4123D02B93,train
68EBCAF7C39857333940591140A9570D,train
5D72FA074F8C56014BBD50B26127E64A,train
0097220C03C4632D248DAF3A2A681CC7,train
FE18589F65441E3B53C72C729987E44A,train
C7E3DD169CD7978525FFBD555FDC6704,train
D0F6E081E876F7149CDF5EFE5501F9D0,train
6402696E51AFB858ADD0A5096450FC99,train
DD35DA85EF2B8D42BCD0C3E7DD6C4288,train
F208DDFD035E98CBAE03C88B6CE2A5CB,train
857CE102DF5C10D37F243C1B3B6793B4,train
4F3F8674E17B7405018C58572BCBCABC,train
7B2394D3420FBC827359DDED54D584A6,train
28D954ACE82B71F0B1ADF3884AD5FD76,train
1828DB7A0E2EB2B4FEB829FA57CA21E9,train
4D38A25F5532C5E419649CA389D6B016,train
54354616103C00CFB156B42187EE513D,train
84B93A63965E18426F4FBCF69FE3273D,train
4CAC4914C3C9A91B9038BADF58218361,train
FC4A600D7A9F9F59852C62319887462A,train
DE3E741F37CF88B5DE807C8DAF765DFC,train
61925E78441600FB828D20531E2B6545,train
7B905F556F802DAE8B97A28D2A35C14A,train
F33E7AF78BBCF124BA505884A6D3465C,train
012E9D46D3773353F210CD51DAC26C40,train
5C4C769A30058F5158EED9657757269A,train
F0EE2D7A4D579A4743AC61598B7F064B,train
1AE020B30185C5AC298B3EC150B4DB0E,train
71EF6A6989A7ADD0622AC40C9BBD8470,train
2B16FAC929106FFF303CA4855DAE60F1,train
E596845F6FB2B87F2090881C2A7AAFE5,train
DB36FEF8D8C94FC74C1ABC15C5D6CB58,train
4FB3B23996EDEA075BC71190FEDD2667,train
16595DF7956D40859B41FD47AEA6DC25,train
3026E4CEB2F9FA3E344E5B5CC3E9D08F,train
E49F8E036751B836137C9CEAD28BFD2F,train
F9CEA53A71EE423D7106120E5CF24283,train
5CEF644B222B9322D43718ED62340899,train
6776251CFA59E88BA538A70817B883B0,train
DF955CF7DD622B3FCF57893F9DD35D3A,train
7E8BD798B9A16A14995C23511248DBD8,train
627A52F485F1FF9A9F47540603F5649B,train
07E007FAAC1739D7E541D8AFAA60C97A,train
79302107473ABAC18E4165E013BA0143,train
995329F10DD5CEC11B0F4053C5364898,train
18824E0A1D7E5D3C8AC60598C699ACD7,train
DAF00E6A8AE894F2EECF27AA3F5FAF8A,train
5627D938D95B90A724E1EE972DCCCB90,train
685504FABF8E7FBF2442BAEC68E096D5,train
F85CEA60BCD4059473B7CA082CB3B382,train
3564CCF3B0D1E7373C11B6AE088BB0CA,train
6EEB8D2FCD8D80552B13FC799714CAE1,train
E90D95044E985AC8D594D5192BFB0E50,train
6791D321D1BBF408B5BB24245B445751,train
8531CC39D3D93F5B030803A8AC995287,train
3FA41ACA9F34F1C8FBA5D1EFC845A95C,train
E70F8D2C7A6A5C54CA44B8C1E856C679,train
5521C969693B57F5307678971BCD3443,train
E27932F182EC5B56E16756B77260E66E,train
B1928657CD5F626890F14DF26EEAC858,train
2C3775471A7FCC68817DC1437462DEBF,train
CEC67BC992E65D7EF3D5DDBCB6F4533F,train
AEDE5AAFB2797CC93CDACC86768D308F,train
093AB57CE2FD5A2B0508136CFC93BAEF,train
B8AEF6DC850C388942FB744B00A0ED11,train
9D940CD3BB30167E3EFC8EF872E8831A,train
F4499EDAC19E3B614EC8D487B00B53CE,train
05EBFACB853D452DAF3990F00AFEA0DE,train
A32EB6DFFFE0D26E776A476D91B03B90,train
8D98C09C14C58CFD61132AD6EEECD9C6,train
1D209D7E04D425803FFD5A57B69A32D5,train
02FD8C1E8455149BA8B603D57A58AF70,train
DB3F90C42FE3FDBBEF6D5AAFFC1E0BFC,train
B7777E5D3E7653D5DF665BBE2E0860C6,train
6A29681770C4CEEC136072F48ACC1B84,train
AE5515DC1C92A3EA65E026EE2C39518C,train
52D431FEB70F22F40ACFE4859D0B8E91,train
A7220407C643CCC1A5A7B2089D46D5E2,train
F97A86DA719155967D47109C7CDED352,train
1FCC4867E0BBF1D4C090F9BF0F8B9680,train
