consumer_id,split
MT_002,train
MT_004,train
MT_005,train
MT_008,train
MT_009,train
MT_011,train
MT_013,train
MT_016,train
MT_017,train
MT_018,train
MT_019,train
MT_020,train
MT_021,train
MT_022,train
MT_023,train
MT_024,train
MT_029,train
MT_031,train
MT_033,train
MT_034,train
MT_035,train
MT_036,train
MT_037,train
MT_038,train
MT_043,train
MT_044,train
MT_045,train
MT_046,train
MT_049,train
MT_050,train
MT_051,train
MT_052,train
MT_001,validation
MT_006,validation
MT_007,validation
MT_010,validation
MT_026,validation
MT_027,validation
MT_028,validation
MT_003,test
MT_014,test
MT_025,test
MT_040,test
MT_042,test
MT_047,test
MT_048,test
