consumer_id,split
MT_001,train
MT_003,train
MT_004,train
MT_005,train
MT_010,train
MT_011,train
MT_013,train
MT_014,train
MT_017,train
MT_018,train
MT_019,train
MT_022,train
MT_023,train
MT_024,train
MT_025,train
MT_026,train
MT_028,train
MT_029,train
MT_031,train
MT_035,train
MT_036,train
MT_037,train
MT_038,train
MT_042,train
MT_043,train
MT_044,train
MT_045,train
MT_046,train
MT_047,train
MT_050,train
MT_051,train
MT_052,train
MT_007,validation
MT_008,validation
MT_021,validation
MT_027,validation
MT_040,validation
MT_048,validation
MT_049,validation
MT_002,test
MT_006,test
MT_009,test
MT_016,test
MT_020,test
MT_033,test
MT_034,test
